t_us,t_s,x_m,y_m,yaw_rad,vx_body_m_s,vy_body_m_s,yaw_rate_rad_s,line_position_m,line_error_m,line_visible,line_confidence,pwm_left,pwm_right,motor_current_left_a,motor_current_right_a,motor_torque_left_nm,motor_torque_right_nm,wheel_force_left_n,wheel_force_right_n,desired_wheel_force_left_n,desired_wheel_force_right_n,slip_left,slip_right,normal_left_n,normal_right_n,battery_voltage_v,sensor_00_adc,sensor_01_adc,sensor_02_adc,sensor_03_adc,sensor_04_adc,sensor_05_adc,sensor_06_adc,sensor_07_adc,sensor_08_adc,sensor_09_adc,sensor_10_adc,sensor_11_adc,sensor_12_adc,sensor_13_adc,sensor_14_adc,sensor_15_adc
0,0.000000000,0.000000000,0.035000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.400000000,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
1000,0.001000000,0.000002011,0.035000000,-0.000111157,0.003074717,0.000000000,-0.141356092,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,1.051964912,0.041720247,0.073966283,-0.002933455,1.045879222,-0.280106506,7.396628287,-0.293345484,5.983760912,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
2000,0.002000000,0.000008552,0.034999999,-0.000338589,0.007705478,0.000000000,-0.255963817,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.816067398,0.031337560,0.057379739,-0.002203422,1.045879222,-0.207103241,5.737973890,-0.220342219,4.417689820,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
3000,0.003000000,0.000019760,0.034999994,-0.000680013,0.012375631,0.000000000,-0.369905175,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.578216975,0.031056241,0.040655881,-0.002183642,1.045879222,-0.205125216,4.065588106,-0.218364193,2.838653803,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
4000,0.004000000,0.000035638,0.034999981,-0.001135352,0.017046415,0.000000000,-0.483815919,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.340335888,0.031060635,0.023929867,-0.002183951,1.045879222,-0.205156113,2.392986710,-0.218395090,1.259414209,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
5000,0.005000000,0.000055717,0.034999956,-0.001696881,0.020776274,0.000000000,-0.582290458,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.102478503,0.031073109,0.007205520,-0.002184828,0.707312997,-0.205243822,0.720551975,-0.218482800,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
6000,0.006000000,0.000076501,0.034999917,-0.002295194,0.020783678,0.000000000,-0.600588609,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.009070769,0.009068777,0.000637788,-0.000637648,0.050539867,-0.050525862,0.063778844,-0.063764839,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
7000,0.007000000,0.000097284,0.034999867,-0.002897538,0.020783679,0.000000000,-0.602594129,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.002745056,0.002745056,0.000193012,-0.000193012,0.006062197,-0.006062197,0.019301175,-0.019301174,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
8000,0.008000000,0.000118068,0.034999803,-0.003500325,0.020783679,0.000000000,-0.602813939,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.002051852,0.002051852,0.000144271,-0.000144271,0.001188107,-0.001188107,0.014427085,-0.014427085,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
9000,0.009000000,0.000138852,0.034999727,-0.004103160,0.020783679,0.000000000,-0.602838030,-0.031200000,-0.031200000,1,0.187500000,0.745600,-0.065600,0.001975875,0.001975875,0.000138929,-0.000138929,0.000653896,-0.000653896,0.013892873,-0.013892873,0.000000000,0.000000000,0.882598500,0.882598500,7.377286400,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0,0,0
